5.000000000000000000e+00 1.511663353973244206e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 1.146891422607421929e-06 1.119921502340985420e+00
5.009999999999999787e+00 1.514686680681190722e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 1.111013692041541824e-06 1.120623102881781907e+00
5.019999999999999574e+00 1.517710007389137061e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 1.076258309543890057e-06 1.119556931621588980e+00
5.030000000000000249e+00 1.520733334097083755e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 1.042590165177859750e-06 1.120275564564731541e+00
5.040000000000000036e+00 1.523756660805030272e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 1.009975247335479428e-06 1.118971486476538990e+00
5.049999999999999822e+00 1.526779987512976611e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 9.783806083788786697e-07 1.119539625166512398e+00
5.059999999999999609e+00 1.529803314220923127e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 9.477743313566351857e-07 1.118445237391255898e+00
5.070000000000000284e+00 1.532826640928869821e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 9.181254977612899200e-07 1.119971194113339674e+00
5.080000000000000071e+00 1.535849967636816160e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 8.894041562955032706e-07 1.118762498103399894e+00
5.089999999999999858e+00 1.538873294344762677e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 8.615812926152549193e-07 1.117865363255632793e+00
5.099999999999999645e+00 1.541896621052709015e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 8.346288000195916516e-07 1.117696024337696326e+00
5.110000000000000320e+00 1.544919947760655710e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 8.085194510572200502e-07 1.117115159626469456e+00
5.120000000000000107e+00 1.547943274468602226e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 7.832268700213768164e-07 1.118791965117036602e+00
5.129999999999999893e+00 1.550966601176548565e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 7.587255063050789490e-07 1.117759810019961275e+00
5.139999999999999680e+00 1.553989927884495081e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 7.349906085899099296e-07 1.116566820961458539e+00
5.150000000000000355e+00 1.557013254592441598e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 7.119981998422277836e-07 1.116337729882869612e+00
5.160000000000000142e+00 1.560036581300388114e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 6.897250530916056313e-07 1.115988515549781512e+00
5.169999999999999929e+00 1.563059908008334453e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 6.681486679668934489e-07 1.117624908654161864e+00
5.179999999999999716e+00 1.566083234716280970e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 6.472472479663779785e-07 1.115524697321380598e+00
5.190000000000000391e+00 1.569106561424227664e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 6.269996784389423063e-07 1.117299330289813319e+00
5.200000000000000178e+00 1.572129888132174003e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 6.073855052540416330e-07 1.115051250398001903e+00
5.209999999999999964e+00 1.575153214840120519e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 5.883849141389235313e-07 1.115064185943443809e+00
5.219999999999999751e+00 1.578176541548066858e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 5.699787106622653143e-07 1.114707381994685775e+00
5.230000000000000426e+00 1.581199868256013552e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 5.521483008439259825e-07 1.114509060275218566e+00
5.240000000000000213e+00 1.584223194963960069e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 5.348756723713214623e-07 1.115212002258291202e+00
5.250000000000000000e+00 1.587246521671906407e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 5.181433764033611893e-07 1.114989945672202554e+00
5.259999999999999787e+00 1.590269848379852924e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 5.019345099436299014e-07 1.113846867877832825e+00
5.269999999999999574e+00 1.593293175087799263e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 4.862326987649563283e-07 1.113621393522253644e+00
5.280000000000000249e+00 1.596316501795745957e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 4.710220808681709917e-07 1.114317465652674422e+00
5.290000000000000036e+00 1.599339828503692473e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 4.562872904583010277e-07 1.113932023767940205e+00
5.299999999999999822e+00 1.602363155211638812e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 4.420134424220256071e-07 1.114621960395448586e+00
5.309999999999999609e+00 1.605386481919585151e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 4.281861172907224807e-07 1.113658919462442665e+00
5.320000000000000284e+00 1.608409808627531845e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 4.147913466739175540e-07 1.114260581073479806e+00
5.330000000000000071e+00 1.611433135335478539e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 4.018155991483966295e-07 1.113952961302221878e+00
5.339999999999999858e+00 1.614456462043424878e+01 3.023326707946488501e+00 2.454480927532411392e-44 3.901088098985674435e+00 3.892457665887478938e-07 1.112181216090364799e+00
